,label,pred
293,[0 0 0 1],[2.0742011e-05 1.1805787e-04 7.4247391e-06 9.9985385e-01]
294,[0 0 1 0],[1.4255849e-04 2.0279519e-03 9.9775994e-01 6.9477457e-05]
295,[1 0 0 0],[9.9943978e-01 2.4219781e-04 2.5908020e-04 5.8833757e-05]
296,[0 0 0 1],[5.4950815e-05 3.3620390e-04 8.6957800e-05 9.9952185e-01]
297,[0 0 0 1],[3.1749423e-06 5.3582222e-05 7.9351730e-06 9.9993527e-01]
298,[1 0 0 0],[9.9688762e-01 1.2060528e-03 1.7711520e-03 1.3511731e-04]
299,[0 0 1 0],[3.1364427e-04 4.7522425e-04 9.9915552e-01 5.5686840e-05]
300,[1 0 0 0],[9.9926072e-01 4.6630931e-04 1.5109306e-04 1.2188186e-04]
301,[0 0 1 0],[1.3845088e-05 5.8403955e-05 9.9991989e-01 7.8120293e-06]
302,[0 0 1 0],[8.6922737e-05 7.1773725e-04 9.9911886e-01 7.6409990e-05]
303,[0 0 0 1],[0.18299286 0.15215151 0.00135286 0.6635028 ]
304,[1 0 0 0],[0.99498665 0.00204466 0.00167533 0.00129333]
305,[0 1 0 0],[0.00446839 0.03557828 0.9583303  0.00162309]
306,[1 0 0 0],[0.93985784 0.05320469 0.00238958 0.00454794]
307,[1 0 0 0],[9.9799865e-01 8.1896264e-04 8.7519322e-04 3.0722172e-04]
308,[0 0 1 0],[1.9219131e-04 2.5025031e-02 9.7455990e-01 2.2294582e-04]
309,[0 0 1 0],[1.6733549e-05 2.8716007e-05 9.9995196e-01 2.6373098e-06]
310,[1 0 0 0],[9.9888319e-01 1.0343509e-03 3.3898730e-05 4.8557686e-05]
311,[0 0 1 0],[1.0983178e-04 1.9598761e-04 9.9965036e-01 4.3730750e-05]
312,[1 0 0 0],[0.72926575 0.0988642  0.06036074 0.11150935]
313,[0 0 1 0],[7.4532618e-05 2.4702243e-04 9.9963260e-01 4.5828612e-05]
314,[0 0 1 0],[8.7817491e-05 2.6578363e-04 9.9959391e-01 5.2540730e-05]
315,[0 0 1 0],[2.6477141e-05 1.3257144e-04 9.9983370e-01 7.1961590e-06]
316,[0 0 1 0],[6.1293598e-05 4.5790497e-04 9.9938369e-01 9.7184653e-05]
317,[0 0 1 0],[5.3375417e-05 1.9457299e-04 9.9973041e-01 2.1650025e-05]
318,[1 0 0 0],[0.62555325 0.03457493 0.01151349 0.32835826]
319,[1 0 0 0],[9.9667168e-01 1.3710189e-03 1.1567709e-03 8.0048962e-04]
320,[0 0 1 0],[9.6297066e-04 8.9408795e-04 9.9787402e-01 2.6897874e-04]
321,[0 0 1 0],[2.9767074e-05 1.8270192e-04 9.9976736e-01 2.0180787e-05]
322,[0 0 1 0],[4.9745206e-05 3.0681657e-04 9.9960679e-01 3.6751528e-05]
323,[1 0 0 0],[9.9771738e-01 2.1001690e-03 6.3878018e-05 1.1864264e-04]
324,[0 1 0 0],[2.3883741e-02 9.4130784e-01 5.0460477e-04 3.4303881e-02]
325,[1 0 0 0],[9.9149793e-01 4.5781145e-03 3.1007337e-03 8.2321890e-04]
326,[1 0 0 0],[9.9977702e-01 1.3764288e-04 6.5399981e-05 1.9906947e-05]
327,[0 0 1 0],[4.8123497e-05 2.4582748e-04 9.9966633e-01 3.9740244e-05]
328,[0 0 1 0],[2.1069574e-04 9.1499707e-04 9.9877244e-01 1.0178635e-04]
329,[0 0 1 0],[1.7645882e-03 1.6714945e-03 9.9610716e-01 4.5673811e-04]
330,[0 0 1 0],[1.4782051e-04 6.4587634e-04 9.9884820e-01 3.5808285e-04]
331,[0 0 1 0],[0.00222499 0.00383599 0.9926091  0.0013299 ]
332,[0 0 1 0],[2.8889929e-04 1.3816305e-03 9.9803048e-01 2.9894448e-04]
333,[0 0 1 0],[3.5249346e-04 8.1279688e-04 9.9874109e-01 9.3584073e-05]
334,[1 0 0 0],[9.9784327e-01 1.3915260e-03 2.4778719e-04 5.1744247e-04]
335,[0 0 1 0],[8.9190407e-03 2.7875509e-03 9.8760289e-01 6.9049647e-04]
336,[0 0 1 0],[0.00343884 0.01160431 0.9828007  0.00215618]
337,[1 0 0 0],[9.9981910e-01 1.5044112e-04 2.0300429e-05 1.0207697e-05]
338,[1 0 0 0],[9.9979490e-01 1.5491003e-04 2.9884401e-05 2.0260330e-05]
339,[1 0 0 0],[9.9866474e-01 7.2180317e-04 3.2629675e-04 2.8711348e-04]
340,[1 0 0 0],[9.9982017e-01 8.9832596e-05 7.6239929e-05 1.3789734e-05]
341,[1 0 0 0],[9.99265254e-01 4.11920424e-04 2.16643268e-04 1.06100306e-04]
342,[1 0 0 0],[9.9984038e-01 1.4070967e-04 1.0781708e-05 8.1384596e-06]
343,[1 0 0 0],[9.9833041e-01 7.2438567e-04 6.7454256e-04 2.7068317e-04]
344,[0 0 1 0],[7.7596895e-04 1.2363674e-03 9.9778420e-01 2.0341443e-04]
345,[0 0 1 0],[2.8944461e-04 6.4530410e-04 9.9893826e-01 1.2694388e-04]
346,[0 0 1 0],[4.1161623e-04 1.0113256e-03 9.9852729e-01 4.9788632e-05]
347,[1 0 0 0],[0.9402984  0.02045682 0.03710588 0.00213883]
348,[1 0 0 0],[9.9913055e-01 5.1257416e-04 9.0386398e-05 2.6643983e-04]
349,[1 0 0 0],[0.72490966 0.25471586 0.01448279 0.00589171]
350,[1 0 0 0],[9.9984002e-01 1.4757045e-04 7.6155661e-06 4.7471194e-06]
351,[1 0 0 0],[9.9840975e-01 1.0443251e-03 4.1927560e-04 1.2662917e-04]
352,[1 0 0 0],[9.99244809e-01 6.04028988e-04 4.60800475e-05 1.05067054e-04]
353,[0 0 1 0],[4.1247662e-05 1.4509766e-04 9.9978703e-01 2.6683558e-05]
354,[0 0 1 0],[3.6935781e-03 2.4520580e-03 9.9358761e-01 2.6677919e-04]
355,[0 0 1 0],[1.6635289e-05 5.9905979e-05 9.9992204e-01 1.3183356e-06]
356,[0 0 1 0],[9.5755048e-04 3.0120448e-03 9.9516869e-01 8.6170214e-04]
357,[1 0 0 0],[9.9786925e-01 1.4943868e-03 4.4563954e-04 1.9073357e-04]
358,[0 0 1 0],[2.2462419e-04 1.3668200e-02 9.8573965e-01 3.6746066e-04]
359,[1 0 0 0],[9.9975365e-01 1.5550992e-04 5.7601319e-05 3.3272037e-05]
360,[1 0 0 0],[9.9872726e-01 6.8143295e-04 3.2727458e-04 2.6400175e-04]
361,[0 0 1 0],[2.8184579e-05 1.2736740e-04 9.9982697e-01 1.7568696e-05]
362,[1 0 0 0],[0.4714203  0.00405872 0.00270633 0.5218147 ]
363,[1 0 0 0],[9.9978048e-01 1.4941045e-04 5.2756219e-05 1.7295515e-05]
364,[1 0 0 0],[9.9948162e-01 4.0502826e-04 2.1350726e-05 9.2021597e-05]
